Plot,Tree,Azimuth,Distance,Species,Snag,Height,DBH_2010,Biomass_J_2010,Biomass_Y_2010,Biomass_C_2010,Biomass_W_2010,Biomass_mean_2010,Volume_W_2010,DBH_2012,Biomass_J_2012,Biomass_Y_2012,Biomass_C_2012,Biomass_W_2012,Biomass_mean_2012,Volume_W_2012,DBH_2015,Biomass_J_2015,Biomass_Y_2015,Biomass_C_2015,Biomass_W_2015,Biomass_mean_2015,Volume_W_2015,DBH_2017,Biomass_J_2017,Biomass_Y_2017,Biomass_C_2017,Biomass_W_2017,Biomass_mean_2017,Volume_W_2017,DBH_2021,Biomass_J_2021,Biomass_Y_2021,Biomass_C_2021,Biomass_W_2021,Biomass_mean_2021,Volume_W_2021,DBH_2023,Biomass_J_2023,Biomass_Y_2023,Biomass_C_2023,Biomass_W_2023,Biomass_mean_2023,Volume_W_2023,DBH_2025,Biomass_J_2025,Biomass_Y_2025,Biomass_C_2025,Biomass_W_2025,Biomass_mean_2025,Volume_W_2025,DBH_2026,Biomass_J_2026,Biomass_Y_2026,Biomass_C_2026,Biomass_W_2026,Biomass_mean_2026,Volume_W_2026
PN_051_07,7,80,4.11,PIRU,,13.76990013,14.8,33.59011386,30.98222708,30.84789719,34.30202035,32.43056462,0.114034259,15.24,35.96548454,33.1731775,33.02934829,36.72773447,34.7239362,0.122098347,15.9,39.70348145,36.62096186,36.46218406,40.54495423,38.33289541,0.134788382,16.34,42.31339171,39.02824254,38.85902748,43.21017874,40.85271012,0.143648703,17.22,47.82006764,44.1073883,43.91615154,48.83356278,46.16929257,0.162343183,17.66,50.71850982,46.78079971,46.57797183,51.79343433,48.96767893,0.172183034,18.1,53.71478197,49.54444572,49.32963547,54.85320926,51.86051811,0.182355005,18.32,55.24985584,50.96033873,50.73938958,56.42081738,53.34260039,0.18756639
PN_051_08,8,130,8.47,PIST,,19.73564125,34.7,223.0083653,206.3421649,228.6072496,193.4995731,212.8643383,0.864355326,35.46,235.0886991,217.5196928,240.9908743,203.9814195,224.3951715,0.91117734,36.6,253.9177206,234.9415552,260.2926203,220.3189575,242.3677134,0.984156509,37.36,266.9478318,246.9978804,273.6498676,231.6249053,254.8051213,1.034659753,38.88,294.1693206,272.1850114,301.5547834,255.2444069,280.7883806,1.14016718,39.64,308.3674506,285.3220651,316.109374,267.5638197,294.3406774,1.195197534,40.4,322.9616104,298.825552,331.0699372,280.226859,308.2709897,1.251762855,40.78,330.4082293,305.7156589,338.7035121,286.6881304,315.3788827,1.280625112
PN_051_09,9,146,8.2,PIST,,15.65461168,22.6,78.50395819,72.27341806,79.65125176,68.0318387,74.61511671,0.300023824,23.36,85.08782656,78.33475155,86.33133986,73.7374449,80.87284075,0.325185833,24.5,95.55499957,87.97118758,96.95148504,82.80833817,90.82150263,0.365188928,25.26,102.933768,94.76433312,104.4380902,89.20280787,97.83474983,0.39338886,26.78,118.6721688,109.2536411,120.4064994,102.8417679,112.7935193,0.453537359,27.54,127.0401809,116.9575181,128.8968056,110.0935201,120.7470062,0.48551795,28.3,135.7462084,124.9725835,137.730067,117.6381977,129.0217642,0.518790357,28.68,140.2272384,129.0979723,142.2765848,121.5214759,133.2808179,0.535915809
PN_051_10,10,150,6.78,PIST,,9.344745162,8.2,0,0,0,0,0,0,8.96,0,0,0,0,0,0,10.1,11.04574541,10.06765649,10.97924761,9.196144974,10.32219862,0.032980847,10.86,13.17998626,12.0129126,13.10063987,10.97300906,12.31663695,0.039353352,12.38,18.13169537,16.52615317,18.02253861,15.09555879,16.94398649,0.054138371,13.14,20.96238875,19.10619169,20.8361906,17.45225504,19.58925652,0.062590373,13.9,24.03807319,21.90952757,23.89335875,20.0129188,22.46346958,0.07177388,14.28,25.66969026,23.3966667,25.51515313,21.37132301,23.98820828,0.07664563
PN_051_11,11,160,4.44,ACRU,,12.53724127,8.5,0,0,0,0,0,0,9.1,0,0,0,0,0,0,10,17.12255881,15.2055426,15.75648939,14.23696455,15.58038884,0.042003959,10.6,19.6525798,17.45230621,18.08466063,16.34061153,17.88253954,0.048210443,11.8,25.32659479,22.49106692,23.3059922,21.05840816,23.04551552,0.062129571,12.4,28.47870875,25.29027489,26.20662468,23.67930934,25.91372941,0.069862134,13,31.84608787,28.28064725,29.30534806,26.47919794,28.97782028,0.078122772,13.3,33.61167709,29.84856373,30.93007531,27.94723969,30.58438895,0.082454002
PN_051_12,12,268,3.16,ACRU,,13.37010451,10,17.12255881,15.23096848,15.79111138,14.30385006,15.61212218,0.042392393,10.6,19.65257981,17.48148901,18.12439834,16.41738001,17.91896179,0.048656272,11.5,23.83005962,21.19746768,21.97703799,19.90716477,21.72793252,0.058998965,12.1,26.87598227,23.90689636,24.78611019,22.45166887,24.50516442,0.066540125,13.3,33.6116771,29.89847488,30.99803846,28.07853631,30.64668169,0.0832165,13.9,37.30894519,33.18729254,34.40780758,31.16716162,34.01780173,0.092370275,14.5,41.23064499,36.67574813,38.02455663,34.44327277,37.59355563,0.102079702,14.8,43.2767511,38.49581358,39.91155786,36.15254972,39.45916806,0.107145495
PN_052_01,1,180,5.41,ACRU,,18.25131825,23.1,124.035888,111.4251408,115.8804482,104.1251409,113.8666545,0.303336066,23.7,131.7910687,118.3918511,123.1257207,110.6354284,120.9860172,0.322301755,24.6,143.9359532,129.3019635,134.4720713,120.8307665,132.1351886,0.352002687,25.2,152.3775847,136.885333,142.35866,127.9173128,139.8847226,0.372647126,26.4,170.0999218,152.8058374,158.915742,142.794788,156.1540723,0.415988002,27,179.3854049,161.1472641,167.5906985,150.5897274,164.6782737,0.438696122,27.6,188.9568918,169.7456165,176.532854,158.6247602,173.4650306,0.46210368,27.9,193.8506081,174.1417879,181.1048053,162.7329172,177.9575296,0.474071512
PN_052_02,2,195,7.79,THOC,,11.89342361,16.5,36.84075083,24.53974057,25.32401579,30.22328817,29.23194884,0.07156988,16.78,38.26826159,25.49061001,26.30527443,31.39438453,30.36463264,0.07434308,17.2,40.46640402,26.95479962,27.81625866,33.19768903,32.10878783,0.078613372,17.48,41.96993927,27.9563092,28.84977588,34.43115409,33.30179461,0.081534264,18.04,45.06904149,30.02063099,30.98007214,36.97358489,35.76083238,0.087554835,18.32,46.6648599,31.08361067,32.07702401,38.2827569,37.02706287,0.090655004,18.6,48.29168838,32.16724627,33.19529194,39.61736884,38.31789886,0.093815415,18.74,49.11676963,32.7168355,33.76244571,40.29424615,38.97257425,0.095418286
PN_052_03,3,215,3.14,TSCA,,13.52506567,22.9,93.50883735,79.34420982,83.27327897,70.65687037,81.69579914,0.268870309,23.34,98.03075439,83.18115128,87.30022305,74.07370791,85.64645917,0.281872387,24,105.0541145,89.14061966,93.55480008,79.38067846,91.78255319,0.302066981,24.44,109.8983603,93.25106385,97.86879056,83.04107312,96.01482198,0.315995866,25.32,119.9807907,101.8062175,106.8475894,90.65952928,104.8235317,0.344986347,25.76,125.2212241,106.2528352,111.5144004,94.61929003,109.4019375,0.360054409,26.2,130.595952,110.8134045,116.3008059,98.68052595,114.0976721,0.375508614,26.42,133.3340203,113.1367129,118.7391629,100.749457,116.4898383,0.383381509
PN_052_04,4,254,7.6,ACRU,,18.27615323,23.2,125.3095873,112.5755721,117.0789116,105.185657,115.037432,0.306308583,23.8,133.1100443,119.5833431,124.3670132,111.7334097,122.1984525,0.325376133,24.7,145.3236278,130.555777,135.7783752,121.9855686,133.4108371,0.355231195,25.3,153.8115722,138.1811727,143.7088083,129.1104026,141.2029889,0.37597925,26.5,171.6277398,154.1868535,160.3547613,144.0654059,157.5586901,0.41952935,27.1,180.9607287,162.5714201,169.0747341,151.8995756,166.1266146,0.442343044,27.7,190.5801079,171.2132737,178.0622862,159.9741431,174.9574527,0.465856795,28,195.4979135,175.6313297,182.6570769,164.1021801,179.472125,0.477877951
